dataset,method,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
BuzzFeed,run19,0.6,0.5682539682539682,0.6,0.5722222222222223,0.5599999999999999,0.19999999999999998,0.8799770351424696,0.19999999999999998,0.4826668898264567,0.5333333333333333,0.2880212290780099
BuzzFeed,run2,0.43333333333333335,0.3238095238095238,0.4000000000000001,0.35555555555555557,0.43999999999999995,-0.16059403658800253,0.7537886861079487,-0.1333333333333333,2.771193742752075,0.39999999999999997,0.2299659828522119
BuzzFeed,run20,0.43333333333333335,0.3238095238095238,0.4000000000000001,0.35555555555555557,0.43999999999999995,-0.16059403658800253,0.7537886861079487,-0.1333333333333333,2.771193742752075,0.39999999999999997,0.2299659828522119
BuzzFeed,run3,0.39999999999999997,0.3,0.20000000000000004,0.22857142857142856,0.4133333333333334,-0.2333333333333333,1.044095344072411,-0.19999999999999996,2.5893259843190513,0.3666666666666667,0.1632993161855452
BuzzFeed,run4,0.39999999999999997,0.3,0.4666666666666666,0.35555555555555557,0.3666666666666667,-0.2333333333333333,3.1872580657157275,-0.19999999999999996,8.266942421595257,0.3,0.2449489742783178
BuzzFeed,run5,0.5333333333333333,0.48809523809523814,0.5333333333333333,0.5,0.5733333333333334,0.08213512674803806,1.0660279648812312,0.0666666666666667,3.6780107021331787,0.5,0.2299659828522119
BuzzFeed,run6,0.43333333333333335,0.3238095238095238,0.4000000000000001,0.35555555555555557,0.43999999999999995,-0.16059403658800253,0.7537886861079487,-0.1333333333333333,2.771193742752075,0.39999999999999997,0.2299659828522119
BuzzFeed,run7,0.5,0.5015873015873016,0.6,0.5434343434343434,0.5466666666666667,0.003323199924043128,0.706893079029847,-3.700743415417188e-17,2.8083203633626304,0.5,0.2687085715244912
BuzzFeed,run8,0.43333333333333335,0.3238095238095238,0.4000000000000001,0.35555555555555557,0.43999999999999995,-0.16059403658800253,0.7537886861079487,-0.1333333333333333,2.771193742752075,0.39999999999999997,0.2299659828522119
BuzzFeed,run9,0.43333333333333335,0.4444444444444444,0.4666666666666666,0.45454545454545453,0.5066666666666667,-0.13608276348795434,0.698238441738945,-0.1333333333333333,35.45082426071167,0.3333333333333333,0.2687085715244912
ISOT,run1-1,0.7000000000000001,0.7777777777777777,0.5333333333333333,0.6296296296296297,0.8266666666666667,0.41764412046657023,0.5462620598861045,0.3999999999999999,260.6510291894277,,
ISOT,run1-2,0.6666666666666666,0.5555555555555555,0.4000000000000001,0.46296296296296297,0.8133333333333334,0.3449048237212395,1.0554607762530088,0.3333333333333333,260.7344657580058,,
ISOT,run1-3,0.7000000000000001,0.7555555555555555,0.6,0.662962962962963,0.7999999999999999,0.4115714903879062,0.5569807890079285,0.3999999999999999,260.8194662729899,,
ISOT,run1-4,0.7000000000000001,0.7555555555555555,0.6,0.662962962962963,0.8266666666666667,0.4115714903879062,0.5689471373108024,0.3999999999999999,260.8974648316701,,
ISOT,run1-5,0.7333333333333334,0.8055555555555555,0.6,0.6851851851851851,0.7999999999999999,0.4809875872091938,0.5334510874226037,0.4666666666666666,260.9871343771617,,
ISOT,run10,0.8666666666666667,0.8333333333333334,0.9333333333333332,0.8787878787878789,0.88,0.7415816237971963,0.41538052879899307,0.7333333333333334,15.961969296137491,0.7000000000000001,0.2299659828522119
