dataset,method,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
BuzzFeed,metoda5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.7396588558563334,0.3333333333333333,0.2977777322133382,,
BuzzFeed,metoda6,1.0,1.0,1.0,1.0,1.0,1.0,0.580954509890028,1.0,0.9099999666213989,,
BuzzFeed,metoda7,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.7220965854993447,0.3333333333333333,0.37568092346191406,,
BuzzFeed,metoda8,1.0,1.0,1.0,1.0,1.0,1.0,0.580954509890028,1.0,0.9099999666213989,,
BuzzFeed,metoda9,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6392930730332114,0.3333333333333333,9.868399143218994,,
ISOT,metoda1-1,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.5476614041218425,0.0,177.85989681879678,,
ISOT,metoda1-2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5559178972834025,0.3333333333333333,177.91579858462015,,
ISOT,metoda1-3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.545120632990176,0.3333333333333333,177.96888701121011,,
ISOT,metoda1-4,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.6020056394970895,0.0,178.02322800954184,,
ISOT,metoda1-5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.559367565107617,0.3333333333333333,178.07619714736938,,
ISOT,metoda10,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5715202560388845,0.3333333333333333,13.549286524454752,,
ISOT,metoda11,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6190987252732371,0.3333333333333333,157.19419598579407,,
ISOT,metoda12-catboost,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6928859910819344,0.3333333333333333,37.33586231867473,,
ISOT,metoda12-rf,0.6666666666666666,0.5,0.6666666666666666,0.5555555555555555,0.3333333333333333,0.3333333333333333,0.8074721721061519,0.3333333333333333,37.32295687993368,,
ISOT,metoda13,0.5,0.5,0.6666666666666666,0.5555555555555555,0.3333333333333333,0.0,0.8526746319481516,0.0,1161.1741775671642,,
ISOT,metoda14,0.6666666666666666,0.5,0.6666666666666666,0.5555555555555555,0.3333333333333333,0.3333333333333333,0.6668673896310184,0.3333333333333333,1280.3053800264995,,
ISOT,metoda15,0.75,0.75,1.0,0.8333333333333333,0.5,0.5,0.6795738055623273,0.5,344.91514825820923,,
ISOT,metoda16,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6880129206734452,0.0,967.1479930082957,,
ISOT,metoda17,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.6346084284017572,0.0,78.67644890149434,,
ISOT,metoda18,0.5,0.5,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.0,0.5762071020562975,0.0,181.82898497581482,,
ISOT,metoda19,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2.0017428812404217,0.0,43.530327002207436,,
ISOT,metoda2,0.75,0.75,1.0,0.8333333333333333,0.5,0.5,0.6795738055623273,0.5,344.91514825820923,,
ISOT,metoda20,0.75,0.75,1.0,0.8333333333333333,0.5,0.5,0.6795738055623273,0.5,344.91514825820923,,
ISOT,metoda3,0.8333333333333334,0.8333333333333334,1.0,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.5563608960986844,0.6666666666666666,540.8597525755564,,
ISOT,metoda4,0.5,0.5,1.0,0.6666666666666666,0.25,0.0,4.357804129784372,0.0,996.1393448114394,,
ISOT,metoda5,0.6666666666666666,0.5,0.6666666666666666,0.5555555555555555,0.3333333333333333,0.3333333333333333,2.246200726565179,0.3333333333333333,45.84688289960226,,
ISOT,metoda6,0.75,0.75,1.0,0.8333333333333333,0.5,0.5,0.6795738055623273,0.5,344.91514825820923,,
ISOT,metoda7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6589422593438712,0.3333333333333333,3.395711819330851,,
ISOT,metoda8,0.75,0.75,1.0,0.8333333333333333,0.5,0.5,0.6795738055623273,0.5,344.91514825820923,,
ISOT,metoda9,0.5,0.5,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.0,0.6056960155411144,0.0,1942.9852218627932,,
WELFake,metoda1-1,0.8333333333333334,0.8333333333333334,1.0,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.472654907801431,0.6666666666666666,185.17259661356607,,
WELFake,metoda1-2,0.8333333333333334,0.8333333333333334,1.0,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.4382316921480171,0.6666666666666666,185.22534680366516,,
WELFake,metoda1-3,0.8333333333333334,0.8333333333333334,1.0,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.4428014610135131,0.6666666666666666,185.27934487660727,,
WELFake,metoda1-4,0.8333333333333334,0.8333333333333334,1.0,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.5215587344213544,0.6666666666666666,185.33501195907593,,
WELFake,metoda1-5,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.40176242141283725,0.6666666666666666,185.38736383120218,,
WELFake,metoda10,0.8333333333333334,0.8333333333333334,1.0,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.45299704332557766,0.6666666666666666,23.358623504638672,,
WELFake,metoda11,0.6666666666666666,0.6666666666666666,1.0,0.7777777777777777,0.6666666666666666,0.3333333333333333,0.5615190333977388,0.3333333333333333,280.6476764678955,,
WELFake,metoda12-catboost,0.8333333333333334,0.8333333333333334,1.0,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.6906176241193255,0.6666666666666666,67.03078317642212,,
WELFake,metoda12-rf,0.6666666666666666,0.6666666666666666,1.0,0.7777777777777777,1.0,0.3333333333333333,0.501112843369745,0.3333333333333333,67.01678315798442,,
WELFake,metoda13,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.3508079022002802,0.6666666666666666,2258.8015521367392,,
WELFake,metoda14,0.8333333333333334,0.8333333333333334,1.0,0.8888888888888888,1.0,0.6666666666666666,0.4059828371035472,0.6666666666666666,5271.414167086284,,
WELFake,metoda15,1.0,1.0,1.0,1.0,1.0,1.0,0.6269909483634627,1.0,769.769679069519,,
WELFake,metoda16,0.8333333333333334,0.8333333333333334,1.0,0.8888888888888888,1.0,0.6666666666666666,0.4060029907498024,0.6666666666666666,4972.952937523524,,
WELFake,metoda17,0.6666666666666666,0.6666666666666666,1.0,0.7777777777777777,1.0,0.3333333333333333,0.44557733332806765,0.3333333333333333,113.62715276082356,,
WELFake,metoda18,0.8333333333333334,0.8333333333333334,1.0,0.8888888888888888,1.0,0.6666666666666666,0.3364320296389169,0.6666666666666666,331.03219660123193,,
WELFake,metoda19,0.6666666666666666,0.5,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.3333333333333333,0.5251434589517072,0.3333333333333333,85.26869384447733,,
WELFake,metoda2,1.0,1.0,1.0,1.0,1.0,1.0,0.6269909483634627,1.0,769.769679069519,,
WELFake,metoda20,1.0,1.0,1.0,1.0,1.0,1.0,0.6269909483634627,1.0,769.769679069519,,
WELFake,metoda3,0.6666666666666666,0.6666666666666666,1.0,0.7777777777777777,0.6666666666666666,0.3333333333333333,0.668408031770587,0.3333333333333333,2001.0825419425964,,
WELFake,metoda4,0.75,0.75,1.0,0.8333333333333333,0.75,0.5,4.2671604861978985,0.5,1140.7771934270859,,
WELFake,metoda5,0.8333333333333334,0.8333333333333334,1.0,0.8888888888888888,1.0,0.6666666666666666,0.2564752415453338,0.6666666666666666,76.18863328297932,,
WELFake,metoda6,1.0,1.0,1.0,1.0,1.0,1.0,0.6269909483634627,1.0,769.769679069519,,
WELFake,metoda7,0.6666666666666666,0.6666666666666666,1.0,0.7777777777777777,0.6666666666666666,0.3333333333333333,0.5741277216559524,0.3333333333333333,5.905816237131755,,
WELFake,metoda8,1.0,1.0,1.0,1.0,1.0,1.0,0.6269909483634627,1.0,769.769679069519,,
WELFake,metoda9,0.8333333333333334,0.8333333333333334,1.0,0.8888888888888888,1.0,0.6666666666666666,0.42445648299569916,0.6666666666666666,3537.629480520884,,
