metric,method,test,mean,std,p_value,normal_distribution
F1-Score,metoda11,Shapiro-Wilk,0.7203261941081084,0.1599985187552798,0.8988910670074384,True
F1-Score,metoda12-catboost,Shapiro-Wilk,0.7652382810699712,0.17408899271598882,0.46143764803789955,True
F1-Score,metoda12-rf,Shapiro-Wilk,0.7755811550232373,0.1420039924347726,0.10409464155793147,True
F1-Score,metoda13,Shapiro-Wilk,0.7878018055502631,0.29922523688042485,0.0014706669853635326,False
F1-Score,metoda14,Shapiro-Wilk,0.7852421168666943,0.18486377322512282,0.3332059003519886,True
F1-Score,metoda15,Shapiro-Wilk,0.7798094320639066,0.14917118137434435,0.2239775077983469,True
F1-Score,metoda16,Shapiro-Wilk,0.8185868812950879,0.19962509670265827,0.06575387303234602,True
F1-Score,metoda17,Shapiro-Wilk,0.6835157263467218,0.27468354932482975,0.028715409011499528,False
F1-Score,metoda18,Shapiro-Wilk,0.7621785969285536,0.1906215046217425,0.4072782400026481,True
F1-Score,metoda19,Shapiro-Wilk,0.7302941632871456,0.2816845675804867,0.006653388221586604,False
F1-Score,metoda20,Shapiro-Wilk,0.7909205431750177,0.15350869086455815,0.18425184792886373,True
F1-Score,metoda2,Shapiro-Wilk,0.7798094320639066,0.14917118137434435,0.2239775077983469,True
F1-Score,metoda3,Shapiro-Wilk,0.7183398073261009,0.11536490418326281,0.023234158455921958,False
F1-Score,metoda4,Shapiro-Wilk,0.7057404759493846,0.11657319011834197,0.0024282952020801196,False
F1-Score,metoda5,Shapiro-Wilk,0.8278447893020444,0.13544800597846687,0.44874822589202795,True
F1-Score,metoda6,Shapiro-Wilk,0.7798094320639066,0.14917118137434435,0.2239775077983469,True
F1-Score,metoda7,Shapiro-Wilk,0.76560237213681,0.1597765770465975,0.4917123988724741,True
F1-Score,metoda8,Shapiro-Wilk,0.7798094320639066,0.14917118137434435,0.2239775077983469,True
F1-Score,metoda9,Shapiro-Wilk,0.8491965620958549,0.12866017512229536,0.15185951390163338,True
ROC-AUC,metoda1-1,Shapiro-Wilk,0.709860244376797,0.32887685446575093,0.0344878812430562,False
ROC-AUC,metoda1-2,Shapiro-Wilk,0.7002083897062968,0.327393169666914,0.05028674334787714,True
ROC-AUC,metoda1-3,Shapiro-Wilk,0.702556032083263,0.3277358072981121,0.0476061973544352,False
ROC-AUC,metoda1-4,Shapiro-Wilk,0.6954259523507526,0.31919574641607124,0.07819499250836205,True
ROC-AUC,metoda1-5,Shapiro-Wilk,0.7176633679674729,0.3341838443366546,0.025867832216375425,False
ROC-AUC,metoda10,Shapiro-Wilk,0.7505156082642765,0.3062620167684907,0.013418636243505436,False
ROC-AUC,metoda11,Shapiro-Wilk,0.7097039573820396,0.30960051720777154,0.09013697655669774,True
ROC-AUC,metoda12-catboost,Shapiro-Wilk,0.7400843806372964,0.30996875793045925,0.02663935491379491,False
ROC-AUC,metoda12-rf,Shapiro-Wilk,0.9055425307584982,0.09690108251674806,0.01495468523012943,False
ROC-AUC,metoda13,Shapiro-Wilk,0.9405002783415074,0.09718090630072095,0.00020954310143886235,False
ROC-AUC,metoda14,Shapiro-Wilk,0.8422698080500592,0.1929081847113153,0.023430711660194514,False
ROC-AUC,metoda15,Shapiro-Wilk,0.8273577488822299,0.12797796819898782,0.575452606511681,True
ROC-AUC,metoda16,Shapiro-Wilk,0.8688870294619201,0.22576097170921566,0.000272357577137585,False
ROC-AUC,metoda17,Shapiro-Wilk,0.814212349026157,0.2173374398089329,0.01641230156832123,False
ROC-AUC,metoda18,Shapiro-Wilk,0.8602907188962173,0.1534999925408617,0.00599718429278065,False
ROC-AUC,metoda19,Shapiro-Wilk,0.7942370403841817,0.30036047389102616,0.0010720719745006529,False
ROC-AUC,metoda20,Shapiro-Wilk,0.8523577488822298,0.13923172375658374,0.15323444359664473,True
ROC-AUC,metoda2,Shapiro-Wilk,0.8273577488822299,0.12797796819898782,0.575452606511681,True
ROC-AUC,metoda3,Shapiro-Wilk,0.738785621547156,0.2869394119509839,0.009581746636112014,False
ROC-AUC,metoda4,Shapiro-Wilk,0.6758482993642188,0.16997954168400975,0.27652114086483015,True
ROC-AUC,metoda5,Shapiro-Wilk,0.8945644968360674,0.12006806282936584,0.020801814001579117,False
ROC-AUC,metoda6,Shapiro-Wilk,0.8273577488822299,0.12797796819898782,0.575452606511681,True
ROC-AUC,metoda7,Shapiro-Wilk,0.761857121843114,0.29784272896143865,0.007128063696812775,False
ROC-AUC,metoda8,Shapiro-Wilk,0.8273577488822299,0.12797796819898782,0.575452606511681,True
ROC-AUC,metoda9,Shapiro-Wilk,0.9103999873160831,0.1137150136334878,0.005889604011316144,False
