metric,method,test,mean,std,p_value,normal_distribution
Precision,metoda12-rf,Shapiro-Wilk,0.4166666666666667,0.30225490019412093,0.4310789121380756,True
Precision,metoda13,Shapiro-Wilk,0.6559788359788361,0.28789425068465585,0.2635432015549311,True
Precision,metoda14,Shapiro-Wilk,0.4728395061728395,0.29583812312177,0.2408528461714884,True
Precision,metoda15,Shapiro-Wilk,0.5687111801242235,0.3036866848447341,0.36680688722680244,True
Precision,metoda16,Shapiro-Wilk,0.3702160493827161,0.27854147418751574,0.07810763728445087,True
Precision,metoda17,Shapiro-Wilk,0.34443967777301115,0.24512186674343828,0.0015702438921664705,False
Precision,metoda18,Shapiro-Wilk,0.4951460777547734,0.20911262598836083,0.12278885085210206,True
Precision,metoda19,Shapiro-Wilk,0.478346490111196,0.3126273326575521,0.565863367191825,True
Precision,metoda20,Shapiro-Wilk,0.5687111801242235,0.3036866848447341,0.36680688722680244,True
Precision,metoda2,Shapiro-Wilk,0.5687111801242235,0.3036866848447341,0.36680688722680244,True
Precision,metoda3,Shapiro-Wilk,0.4838279273061882,0.33477781351536745,0.11347461026619876,True
Precision,metoda4,Shapiro-Wilk,0.48309341950646295,0.25208345471481886,0.03561185253850394,False
Precision,metoda5,Shapiro-Wilk,0.4563492063492064,0.3084025274242135,0.5528860094393793,True
Precision,metoda6,Shapiro-Wilk,0.5687111801242235,0.3036866848447341,0.36680688722680244,True
Precision,metoda7,Shapiro-Wilk,0.46221108326371485,0.2975506266812858,0.2400352484237802,True
Precision,metoda8,Shapiro-Wilk,0.5687111801242235,0.3036866848447341,0.36680688722680244,True
Precision,metoda9,Shapiro-Wilk,0.43382066276803116,0.2957275628138213,0.6203304916008394,True
Recall,metoda1-1,Shapiro-Wilk,0.5419753086419754,0.44640855443180955,0.010856747197582737,False
Recall,metoda1-2,Shapiro-Wilk,0.5617283950617283,0.4789423392906376,0.0011590575055547261,False
Recall,metoda1-3,Shapiro-Wilk,0.8666666666666667,0.31269438398822863,4.296728622733784e-06,False
Recall,metoda1-4,Shapiro-Wilk,0.7777777777777778,0.41573970964154905,1.686024701044314e-05,False
Recall,metoda1-5,Shapiro-Wilk,0.35061728395061725,0.4166332862714953,0.005890760403854301,False
