Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev),metoda,dataset,method
0.5,0.5,0.2,0.2857142857142857,0.64,0.0,1.5417044711140713,0.0,1.0519752502441406,0.5,0.0,run3_BuzzFeed_results.csv,BuzzFeed,metoda3
0.9,0.8333333333333334,1.0,0.9090909090909092,0.96,0.816496580927726,0.4162153643279344,0.8,1378.5437898635864,0.5,0.0,run3_ISOT_results.csv,ISOT,metoda3
0.7,0.6666666666666666,0.8,0.7272727272727273,0.88,0.408248290463863,0.5437714679347757,0.4,5027.794566869736,0.3,0.2449489742783178,run3_WELFake_results.csv,WELFake,metoda3
0.5,0.5,1.0,0.6666666666666666,0.5,0.0,7.97119263604402,0.0,18.084824562072757,,,run4_BuzzFeed_results.csv,BuzzFeed,metoda4
0.5,0.5,1.0,0.6666666666666666,0.5,0.0,7.97119263604402,0.0,2361.724366426468,,,run4_ISOT_results.csv,ISOT,metoda4
0.5,0.5,1.0,0.6666666666666666,0.5,0.0,7.97119263604402,0.0,3994.834360599518,,,run4_WELFake_results.csv,WELFake,metoda4
0.8,0.7142857142857143,1.0,0.8333333333333334,0.92,0.6546536707079772,0.4208058672771987,0.6,0.5890252590179443,0.7,0.2449489742783178,run5_BuzzFeed_results.csv,BuzzFeed,metoda5
1.0,1.0,1.0,1.0,1.0,1.0,0.0015009618187638,1.0,103.80901551246644,1.0,0.0,run5_ISOT_results.csv,ISOT,metoda5
0.9,0.8333333333333334,1.0,0.9090909090909092,1.0,0.816496580927726,0.1660494306023486,0.8,186.78305339813232,0.9,0.2,run5_WELFake_results.csv,WELFake,metoda5
0.6,0.5714285714285714,0.8,0.6666666666666666,0.72,0.2182178902359924,0.6707844972206846,0.1999999999999999,1.597578525543213,0.6,0.2,run6_BuzzFeed_results.csv,BuzzFeed,metoda6
1.0,1.0,1.0,1.0,1.0,1.0,0.5178812330997037,1.0,548.5144958496094,1.0,0.0,run6_ISOT_results.csv,ISOT,metoda6
0.8,0.8,0.8,0.8,0.8,0.6,0.6282554409092257,0.6,970.958969593048,0.8,0.2449489742783178,run6_WELFake_results.csv,WELFake,metoda6
0.6,0.5714285714285714,0.8,0.6666666666666666,0.7200000000000001,0.2182178902359924,0.5958335302997049,0.1999999999999999,0.9119713306427002,0.3,0.2449489742783178,run7_BuzzFeed_results.csv,BuzzFeed,metoda7
0.9,1.0,0.8,0.8888888888888888,1.0,0.816496580927726,0.3664691345665847,0.8,8.281822204589844,0.5,0.3162277660168379,run7_ISOT_results.csv,ISOT,metoda7
1.0,1.0,1.0,1.0,1.0,1.0,0.3790809064660017,1.0,14.848513841629028,0.8,0.2449489742783178,run7_WELFake_results.csv,WELFake,metoda7
0.6,0.5714285714285714,0.8,0.6666666666666666,0.72,0.2182178902359924,0.6707844972206846,0.1999999999999999,1.597578525543213,0.6,0.2,run8_BuzzFeed_results.csv,BuzzFeed,metoda8
1.0,1.0,1.0,1.0,1.0,1.0,0.5178812330997037,1.0,548.5144958496094,1.0,0.0,run8_ISOT_results.csv,ISOT,metoda8
0.8,0.8,0.8,0.8,0.8,0.6,0.6282554409092257,0.6,970.958969593048,0.8,0.2449489742783178,run8_WELFake_results.csv,WELFake,metoda8
0.6,0.6,0.6,0.6,0.6799999999999999,0.2,0.6235553701812104,0.1999999999999999,13.846472024917604,0.5,0.3162277660168379,run9_BuzzFeed_results.csv,BuzzFeed,metoda9
0.9,0.8333333333333334,1.0,0.9090909090909092,1.0,0.816496580927726,0.2506409012317784,0.8,4997.61262512207,0.6,0.2,run9_ISOT_results.csv,ISOT,metoda9
0.8,0.8,0.8,0.8,0.96,0.6,0.3185020467154006,0.6,9163.697136163712,0.7,0.2449489742783178,run9_WELFake_results.csv,WELFake,metoda9
