metric,method,test,mean,std,p_value,normal_distribution
Precision,metoda10,Shapiro-Wilk,0.7594718800569173,0.30398071273085303,0.009522993351313135,False
Precision,metoda11,Shapiro-Wilk,0.7505675016515511,0.3017432687595317,0.010482091194180003,False
Precision,metoda12-catboost,Shapiro-Wilk,0.7642230358597774,0.3081664242538151,0.007652439605311188,False
Precision,metoda12-rf,Shapiro-Wilk,0.7343578840200718,0.3071258427662102,0.03281972042659233,False
Precision,metoda13,Shapiro-Wilk,0.7274434802266487,0.3109878958095574,0.04113475870741745,False
Precision,metoda14,Shapiro-Wilk,0.7137061498135168,0.2974722704262224,0.05628905585393068,True
Precision,metoda15,Shapiro-Wilk,0.7596617919268501,0.18130741668539915,0.37092653466883607,True
Precision,metoda16,Shapiro-Wilk,0.6194904463926622,0.3846782343686356,0.05033868943646967,True
Precision,metoda17,Shapiro-Wilk,0.5240319452223133,0.40430238991441897,0.04250880830495766,False
Precision,metoda18,Shapiro-Wilk,0.712121672323579,0.3140445327803154,0.05847301213389376,True
Precision,metoda19,Shapiro-Wilk,0.6854469607697307,0.38285178132230324,0.005735116004574373,False
Precision,metoda20,Shapiro-Wilk,0.7596617919268501,0.18130741668539915,0.37092653466883607,True
Precision,metoda2,Shapiro-Wilk,0.7596617919268501,0.18130741668539915,0.37092653466883607,True
Precision,metoda3,Shapiro-Wilk,0.7626520231987901,0.16902147811484344,0.5460247517062,True
Precision,metoda4,Shapiro-Wilk,0.5809131911418168,0.10510600829458201,0.03933710214454294,False
Precision,metoda5,Shapiro-Wilk,0.7086862036487482,0.2960507413998448,0.04897519025235084,False
Precision,metoda6,Shapiro-Wilk,0.7596617919268501,0.18130741668539915,0.37092653466883607,True
Precision,metoda7,Shapiro-Wilk,0.741037581540721,0.30189320141658066,0.022007012124485536,False
Precision,metoda8,Shapiro-Wilk,0.7596617919268501,0.18130741668539915,0.37092653466883607,True
Precision,metoda9,Shapiro-Wilk,0.7150593660146772,0.29917180502664964,0.0672290006355707,True
Recall,metoda1-1,Shapiro-Wilk,0.5639850351882374,0.36138414654660783,0.17706803676250626,True
Recall,metoda1-2,Shapiro-Wilk,0.6187740365748371,0.3801025600542305,0.06570367283954628,True
